code,label,imgid
3052503810393,makeup,2
3052503900674,makeup,3
3052503901602,makeup,3
3052505050339,makeup,1
3052505505105,skincare,2
3054080034377,haircare,2
3054080071105,skincare,1
3058320006001,skincare,2
3058320010176,haircare,2
3058320026047,skincare,1
3058320028201,skincare,2
3058320052015,skincare,2
3058325048587,skincare,2
3058325505400,skincare,1
3059944021302,skincare,2
3059944023054,skincare,2
3059944024051,skincare,2
3059944116923,skincare,2
3059944117050,skincare,2
3059944117173,skincare,2
3059944117463,skincare,3
3059944150002,skincare,2
3086123220720,skincare,1
3094901180005,skincare,2
3094905001054,skincare,3
3094905001085,skincare,1
3094905001405,skincare,2
3094905500779,skincare,1
3111930016055,skincare,1
3125300000042,skincare,4
3127734789357,skincare,1
3140100143058,haircare,5
3140100143089,haircare,2
3140100143119,haircare,1
3140100179347,haircare,2
3140100187342,haircare,2
3140100246506,haircare,2
3140100249194,haircare,2
3140100251197,haircare,2
3140100251296,haircare,2
3140100261301,haircare,2
3140100261318,haircare,2
3140100261325,haircare,2
3140100261349,haircare,2
3140100289343,haircare,4
3140100290202,skincare,1
3140100320916,haircare,2
3140100320923,skincare,2
3140100320930,skincare,3
3140100320978,skincare,3
3140100325713,haircare,1
3140100336979,haircare,2
3140100339581,haircare,2
3140100339598,haircare,2
3140100339604,haircare,2
3140100345902,haircare,2
3140100349689,haircare,2
3140100349849,haircare,2
3140700780868,haircare,2
3141380013000,skincare,1
3141380018944,skincare,2
3141380042536,skincare,1
3141380055192,skincare,2
3145891594553,makeup,2
3159870101007,skincare,2
3159870466212,skincare,2
3160920965005,haircare,2
3160920965012,haircare,1
3172350157134,skincare,2
3172350157141,skincare,2
3172350157158,skincare,2
3178040253070,skincare,2
3178040334229,skincare,2
3178040395329,haircare,4
3178040429949,haircare,1
3178040433809,skincare,2
3178040512832,haircare,2
3178040554931,skincare,3
3178040567207,haircare,5
3178040567283,haircare,2
3178040619869,skincare,2
3178040633179,skincare,2
3178040638617,skincare,2
3178040639898,skincare,4
3178040643451,skincare,2
3178040643819,haircare,3
3178040643826,haircare,3
3178040646452,haircare,2
3178040663312,haircare,3
3178040663329,haircare,4
3178040667044,skincare,2
3178040667518,haircare,2
3178040667600,haircare,2
3178040669536,haircare,1
3178040671843,skincare,1
3178040673335,skincare,1
3178040675278,skincare,2
3178040678811,haircare,2
3178040678859,haircare,2
3178040678866,haircare,2
3178040678873,haircare,4
3178040678880,haircare,2
3178040678897,haircare,2
3178040680876,skincare,1
3178040682405,skincare,1
3178040683167,haircare,2
3178040683822,haircare,2
3178040687059,haircare,1
3178040687790,skincare,5
3178040688513,haircare,2
3178040689510,skincare,1
3178040694149,skincare,2
3178040694156,skincare,2
3178040695160,skincare,2
3178040695627,haircare,2
3178040695771,skincare,1
3178040695825,haircare,4
3178040699021,skincare,2
3178041301145,haircare,2
3178041301404,haircare,2
3178041301534,haircare,1
3178041301855,skincare,2
3178041302036,haircare,4
3178041302104,skincare,1
3178041302111,skincare,1
3178041302135,skincare,2
3178041302159,skincare,1
3178041302531,haircare,2
3178041302579,haircare,2
3178041302586,haircare,2
3178041302630,haircare,3
3178041302654,haircare,1
3178041307116,skincare,1
3178041307147,haircare,1
3178041307505,haircare,2
3178041308076,haircare,2
3178041308410,skincare,2
3178041308694,haircare,3
3178041308793,skincare,2
3178041308922,haircare,2
3178041308939,haircare,3
3178041308960,haircare,10
3178041309011,haircare,2
3178041309097,haircare,2
3178041309127,haircare,3
3178041309134,haircare,2
3178041309578,haircare,2
3178041309998,skincare,2
3178041310062,haircare,1
3178041310642,haircare,8
3178041310994,haircare,4
3178041314725,skincare,1
3178041315098,haircare,3
3178041315319,haircare,2
3178041315494,skincare,2
3178041315791,skincare,2
3178041315807,haircare,2
3178041315814,haircare,2
3178041316323,haircare,5
3178041320221,haircare,2
3178041321648,skincare,1
3178041324090,skincare,2
3178041326407,skincare,2
3178041327895,skincare,1
3178064429628,haircare,2
3178514699564,haircare,2
3181730032237,skincare,2
3181730076217,skincare,1
3181730125007,skincare,1
3181730125083,skincare,1
3181730142042,skincare,2
3181730191170,skincare,2
3181730192627,skincare,2
3181730331552,skincare,3
3181730382325,skincare,2
3182610954113,skincare,1
3182611231022,skincare,2
3182611231039,skincare,2
3182611233019,skincare,2
3182611235112,skincare,1
3182611239158,skincare,2
3182611351072,skincare,1
3194660504293,skincare,1
3213844848777,haircare,1
3215660760127,skincare,2
3215661210041,haircare,1
3215661760010,skincare,1
3215661900010,haircare,2
3215666800018,haircare,1
3215666800049,haircare,1
3215666800070,haircare,1
3215666800087,haircare,2
3215666810048,haircare,2
3215774018480,skincare,2
3222471795187,haircare,2
3222472131434,haircare,1
3222472192787,skincare,2
3222472560616,skincare,5
3222472861171,skincare,2
3222473018307,skincare,2
3222474495312,skincare,1
3222474977962,skincare,2
3222475131356,skincare,1
3222475444654,haircare,1
3222475571121,haircare,1
3222476085696,skincare,1
3222476255013,skincare,1
3224055887493,skincare,2
3245411903114,skincare,2
3245411903237,skincare,2
3245678561676,skincare,1
3245678566909,makeup,2
3245678567159,makeup,2
3245678612743,skincare,1
3245678622582,skincare,3
3250390320678,haircare,2
3250390320807,skincare,2
3250390736790,skincare,1
3250390786122,haircare,2
3250391034253,skincare,2
3250391151844,haircare,2
3250391151905,haircare,2
3250391185177,skincare,2
3250391282777,skincare,1
3250391292790,haircare,2
3250391335992,skincare,3
3250391375318,haircare,2
3250391375349,haircare,2
3250391375370,haircare,2
3250391375523,skincare,2
3250391378012,haircare,2
3250391433247,skincare,2
3250391473700,haircare,2
3250391551071,skincare,2
3250391561919,skincare,1
3250391563647,skincare,2
3250391572861,skincare,3
3250391645206,skincare,2
3250391663682,haircare,2
3250391729715,haircare,1
3250391906611,haircare,2
3250391906642,skincare,2
3250391965762,makeup,2
3250391966806,skincare,1
3250392066819,skincare,2
3250392119423,haircare,2
3250392119485,haircare,2
3250392228415,skincare,2
3251241017594,skincare,1
3251241025568,skincare,2
3251241025605,skincare,1
3251241034775,skincare,3
3251241035130,haircare,1
3251241035154,haircare,2
3251241035321,skincare,1
3251241035352,skincare,2
3251241041667,skincare,2
3251241042053,skincare,1
3251241047584,skincare,2
3251241047676,haircare,1
3251241047737,skincare,2
3251241047966,haircare,1
3251248040045,skincare,2
3251248045804,skincare,2
3251248045859,skincare,2
3251248046245,skincare,1
3252550128209,skincare,1
3252550609883,skincare,2
3253581111550,skincare,1
3253581171820,skincare,1
3253581258743,skincare,2
3253581258910,skincare,1
3253581271155,haircare,2
3253581288160,skincare,1
3253581295687,skincare,1
3253581311622,skincare,1
3253581329832,makeup,2
3253581344873,skincare,1
3254560796027,skincare,2
3256220691079,skincare,1
3256220691116,skincare,1
3256221674286,skincare,2
3256222741192,skincare,2
3256223379585,skincare,1
3256223379592,skincare,1
3256223379622,skincare,1
3256223379677,skincare,2
3256223379684,skincare,1
3256223818497,skincare,2
3256224043997,haircare,1
3256224069478,skincare,2
3256224359203,skincare,1
3256224359234,skincare,1
3256224359241,skincare,2
3256224359265,skincare,1
3256224359418,skincare,2
3256225719174,skincare,1
3256226531638,skincare,3
3257980578938,haircare,1
3257980756626,skincare,5
3257981609006,skincare,2
3257982124898,haircare,2
3257982124935,haircare,2
3257982124980,haircare,2
3257982124997,haircare,2
3257982125000,haircare,2
3257982125017,haircare,2
3257982125024,haircare,2
3257982203715,skincare,1
3257983156201,skincare,2
3257983156256,skincare,1
3257983224825,skincare,2
3257983224986,skincare,2
3257983225051,skincare,1
3257983361964,skincare,2
3257983362008,skincare,1
3257983554489,skincare,1
3257983891720,skincare,2
3257983891737,skincare,2
3257983891744,skincare,2
3257983891768,skincare,2
3257984523514,haircare,2
3257984523521,skincare,2
3257984547640,skincare,2
3257984547657,skincare,2
3257985470695,skincare,2
3263855630229,haircare,2
3263855723228,skincare,2
3263855728711,skincare,2
3263855728919,skincare,2
3263855734415,skincare,2
3263855750729,skincare,2
3263855774114,skincare,2
3263855774213,haircare,2
3263855775333,haircare,2
3263855778037,skincare,2
3263855778518,skincare,2
3263855824017,skincare,2
3263855882611,skincare,2
3263855887012,skincare,1
3263855887616,skincare,2
3263855889535,skincare,2
3263855889634,skincare,2
3263855907826,skincare,2
3263855909424,skincare,2
3263855924090,skincare,1
3263855930619,skincare,2
3263855940731,skincare,2
3263855940830,skincare,2
3263855948935,skincare,1
3263855952529,skincare,2
3263855981215,skincare,1
3263855988610,skincare,3
3263855988818,skincare,2
3263855988924,skincare,3
3263855989211,skincare,1
3263856209318,skincare,1
3264680004285,skincare,3
3264680005206,haircare,4
3264680005589,skincare,1
3264680005619,skincare,2
3264680011290,skincare,1
3267822113135,haircare,2
3267822213132,haircare,2
3267822363134,haircare,1
3273818840121,skincare,1
3274871934024,skincare,2
3274872307001,makeup,1
3278940918823,skincare,3
3282770014112,skincare,1
3282770015225,skincare,2
3282770030099,skincare,2
3282770038965,haircare,1
3282770072907,skincare,1
3282770073478,skincare,3
3282770073676,haircare,2
3282770073782,haircare,3
3282770107739,haircare,2
3282770107951,skincare,1
3282770111552,skincare,1
3282779007504,haircare,1
3282779008686,haircare,1
3282779021197,skincare,1
3282779024884,skincare,1
3282779042673,skincare,1
3282779049535,haircare,1
3282779051200,haircare,3
3282779059848,skincare,1
3282779062671,skincare,2
3282779168519,skincare,1
3282779178624,skincare,1
3282779214490,haircare,2
3282779233699,haircare,1
3282779316392,skincare,1
3282779326834,skincare,1
3282779337526,skincare,1
3282779363815,skincare,2
3282779399036,skincare,3
3282779420716,skincare,1
3283950080057,skincare,2
3283950910255,skincare,2
3283950910910,skincare,2
3283950911054,skincare,2
3283950911900,skincare,2
3283950912594,haircare,2
3283950912624,skincare,2
3283950914819,skincare,2
3283950914826,skincare,2
3283950916776,skincare,2
3284410014940,skincare,2
3284410022129,skincare,1
3284410031015,skincare,2
3284410031022,skincare,2
3284410034917,skincare,2
3284410037895,skincare,1
3284410038014,skincare,3
3286010021687,skincare,1
3286010022011,skincare,2
3286010035400,skincare,3
3287570131014,skincare,1
3291960003508,haircare,1
3298651711360,skincare,1
3298651778172,skincare,2
3298659746999,skincare,2
3323037743588,makeup,1
3326100000724,skincare,4
3327520002855,haircare,2
3328680080653,skincare,1
3328680080707,skincare,1
3329310002113,skincare,2
3329310025983,skincare,2
3331300011968,skincare,2
3331300026344,skincare,1
3331300040838,skincare,2
3331300040845,skincare,1
3331300090987,skincare,2
3331300091229,skincare,1
3331300096460,skincare,2
3331840550002,skincare,2
3331849000041,skincare,2
3331849003820,skincare,1
3331849007552,skincare,1
3337871310783,skincare,1
3337871320331,skincare,2
3337872410345,skincare,3
3337872414145,skincare,1
3337872414527,skincare,1
3337873401243,skincare,1
3337875201148,skincare,1
3337875491419,skincare,1
3346029400702,skincare,2
3346470116429,skincare,1
3346470611016,skincare,1
3346470612020,skincare,1
3346470612068,skincare,1
3348070010572,haircare,1
3348070010602,haircare,1
3348070010633,haircare,1
3348901250313,skincare,6
3348901292276,skincare,1
3350031684692,skincare,2
3350031684708,skincare,2
3350031684722,skincare,2
3350031684739,skincare,2
3350031756801,skincare,2
3350031756832,skincare,1
3350031898143,skincare,3
3350033018884,skincare,2
3350033025554,skincare,2
3350033025561,skincare,1
3350033086890,skincare,1
3350033199934,skincare,1
3350033274761,skincare,1
3350033362147,skincare,1
3355312106528,haircare,1
3355312106610,haircare,1
3355312147125,haircare,2
3361370627073,skincare,1
3365000012536,skincare,2
3378872028321,makeup,1
3378872050919,makeup,1
3378872050933,makeup,1
3378872050940,makeup,2
3378872056225,makeup,1
3378872057529,makeup,2
3378872061717,skincare,2
3378872066927,makeup,2
3378872073369,makeup,1
3378872073673,makeup,2
3378872073697,makeup,1
3378872073703,makeup,2
3378872083023,skincare,1
3378872083498,skincare,1
3378872085201,makeup,1
3378872088813,makeup,1
3378872096047,skincare,1
3378872100072,skincare,1
3378872103578,skincare,1
3378872105329,skincare,1
3380380048043,haircare,3
3380380048081,skincare,1
3380380060205,skincare,2
3380380072734,haircare,2
3380390900904,skincare,3
3380390901154,haircare,2
3380810108996,skincare,1
3380810149661,skincare,1
3380810194784,skincare,4
3380810506105,skincare,2
3380810646108,skincare,1
3380811094106,skincare,1
3380811164106,skincare,1
3380813064107,skincare,3
3386460008747,skincare,2
3400934464171,skincare,1
3400936895744,skincare,4
3401320717604,skincare,2
3401325941622,skincare,3
3401345609540,skincare,1
3401346422155,skincare,1
3401347507264,haircare,2
3401353648470,skincare,5
3401353689053,skincare,1
3401360003750,skincare,2
3401360159747,skincare,2
3401360193208,skincare,3
3401360226937,skincare,1
3401360266759,skincare,1
3401397163496,skincare,5
3401399371455,skincare,1
3401541334710,skincare,2
3401563226963,haircare,3
3401597601613,haircare,2
3415900031448,skincare,1
3415900031462,skincare,1
3415900031479,skincare,2
3426354084935,haircare,2
3426354085017,haircare,1
3426354085024,haircare,1
3426354085031,haircare,2
3426354085994,haircare,1
3433422404533,skincare,1
3433840177347,skincare,2
3440814204596,skincare,1
3440815112791,skincare,1
3450051306113,skincare,2
3450270012031,skincare,2
3450270012581,skincare,2
3450270012772,skincare,2
3450270016152,skincare,2
3450270016169,skincare,2
3450270016176,skincare,1
3450270016862,skincare,1
3450601019234,skincare,1
3450601021879,skincare,2
3450601021893,skincare,2
3450601021978,haircare,2
3450601022036,haircare,1
3450601024375,skincare,1
3450601026614,skincare,3
3450870021136,haircare,1
3450970118651,haircare,2
3450970118859,skincare,1
3450970127653,skincare,7
3455270841216,skincare,1
3461922010206,haircare,2
3464660002021,haircare,1
3466761799381,makeup,1
3466761831487,skincare,1
3466761831494,skincare,1
3466761831531,skincare,1
3466762030414,skincare,1
3466762096007,skincare,1
3466762096038,skincare,1
3466762096045,skincare,1
3466762096069,skincare,1
3468080001718,skincare,1
3468080108325,skincare,1
3468080141001,haircare,2
3468080141261,haircare,3
3468080150157,skincare,2
3468080401976,skincare,2
3468080401990,skincare,2
3468080408159,skincare,2
3470320200317,haircare,2
3470860003201,haircare,1
3474393011085,makeup,1
3474393019470,makeup,2
3474394100009,makeup,1
3474630098251,haircare,1
3474630128903,haircare,2
3474630283626,haircare,1
3474630288072,haircare,2
3474630478244,haircare,1
3474630515499,haircare,4
3474630515628,haircare,3
3474630527584,haircare,1
3474630535053,haircare,2
3474630618435,haircare,1
3474630627017,haircare,2
3474630643161,haircare,3
3474630644786,haircare,4
3474630648456,haircare,4
3474630714601,haircare,1
3474635000952,haircare,1
3474636265558,haircare,2
3474636382842,haircare,2
3474636382880,haircare,5
3476132177199,skincare,1
3478820035866,skincare,2
3478820303453,skincare,1
3478821003680,skincare,2
3478821111033,haircare,2
3478821111118,skincare,1
3489940034035,skincare,1
3489940035223,skincare,3
3489940049237,haircare,1
3489940049251,haircare,3
3489940067040,skincare,1
3489940067064,skincare,1
3489940067071,skincare,1
3489940067088,skincare,1
3489940070569,skincare,6
3504105024567,skincare,2
3504105027315,skincare,2
3504105028312,skincare,1
3504105029982,skincare,3
3504108012936,skincare,3
3504108012950,skincare,3
3504750002019,skincare,1
3506770302001,skincare,2
3506770303015,skincare,2
3506770501008,skincare,2
3511720000005,skincare,2
3511720100088,skincare,1
3511720107100,skincare,3
3511720115679,skincare,2
3511720117970,skincare,1
3511720118908,skincare,1
3511720118915,skincare,1
3511724263970,skincare,2
3511728094006,skincare,1
3511728571002,skincare,1
3515775772108,haircare,2
3516170012868,skincare,1
3516170022751,skincare,2
3516170024878,skincare,1
3517360002485,skincare,2
3517360002577,skincare,2
3517360003208,skincare,1
3517360003314,skincare,1
3517360003710,skincare,1
3517360005998,skincare,2
3517360006162,skincare,2
3517360006261,skincare,2
3517360009552,skincare,2
3517360009781,skincare,1
3517360009804,skincare,1
3517360010831,makeup,1
3517360011449,skincare,1
3517360012262,skincare,1
3517360012538,haircare,1
3517360012743,skincare,1
3517360012781,skincare,1
3517360014327,makeup,2
3518301023132,skincare,1
3518646023415,skincare,1
3518646023477,skincare,1
3518646023484,skincare,1
3518646087240,skincare,1
3518646213014,skincare,1
3522930000891,skincare,1
3522930001430,skincare,2
3522930001577,skincare,2
3522930001812,skincare,1
3522930003526,skincare,1
3522930003694,skincare,1
3522930003731,haircare,2
3522930003786,skincare,1
3522932031787,skincare,2
3522933031427,skincare,1
3528280070706,skincare,3
3538394612730,skincare,1
3538394612839,skincare,2
3538394612938,skincare,2
3538394920033,haircare,1
3545234101019,makeup,1
3549620003093,skincare,2
3549620005042,skincare,1
3549620005059,skincare,2
3549620005073,skincare,2
3549620005608,skincare,2
3549620005813,skincare,1
3549620006049,skincare,1
3549620007022,skincare,2
3549620008203,haircare,2
3549620008227,haircare,1
3549620008265,haircare,3
3549620008296,haircare,1
3549620008302,haircare,2
3549620008319,haircare,2
3549620008333,haircare,1
3549620009033,skincare,1
3549620020335,skincare,2
3560070169290,skincare,2
3560070169924,skincare,1
3560070211623,skincare,2
3560070231614,skincare,2
3560070272426,skincare,1
3560070311453,skincare,3
3560070333912,skincare,2
3560070337651,skincare,1
3560070397921,haircare,2
3560070559008,haircare,2
3560070623693,skincare,2
3560070624171,skincare,2
3560070624263,skincare,2
3560070624355,skincare,2
3560070624447,skincare,2
3560070625253,skincare,2
3560070625284,skincare,2
3560070625314,skincare,2
3560070625437,skincare,2
3560070626274,skincare,3
3560070627714,haircare,9
3560070627950,haircare,2
3560070630233,skincare,2
3560070630776,haircare,2
3560070631490,skincare,1
3560070673018,skincare,2
3560070673070,skincare,2
3560070784639,skincare,3
3560070815470,haircare,2
3560070848621,skincare,1
3560070848898,skincare,2
3560070857371,skincare,3
3560070857401,skincare,3
3560070857432,skincare,3
3560070860425,haircare,1
3560070860517,haircare,2
3560070871544,skincare,2
3560070878888,skincare,2
3560070881253,skincare,6
3560070881581,skincare,1
3560070881673,skincare,3
3560070882090,skincare,1
3560070883295,skincare,2
3560070883325,skincare,4
3560070883387,skincare,1
3560070883448,skincare,3
3560070883479,skincare,3
3560070885466,haircare,3
3560070890330,skincare,1
3560070890637,skincare,2
3560070892662,makeup,2
3560070897759,skincare,2
3560070897810,skincare,2
3560070897841,skincare,2
3560070900336,haircare,3
3560070900367,haircare,3
3560070902552,skincare,1
3560070902613,skincare,4
3560070902675,skincare,3
3560070902736,skincare,2
3560070902798,skincare,2
3560070902828,skincare,2
3560070902880,skincare,2
3560070911370,haircare,2
3560070922208,skincare,6
3560070922789,skincare,2
3560070922963,haircare,2
3560070922994,haircare,2
3560070923021,haircare,2
3560070924165,makeup,3
3560070937493,skincare,2
3560070938001,skincare,2
3560070946730,haircare,2
3560070946853,skincare,2
3560070947607,haircare,2
3560070950461,haircare,2
3560070954858,skincare,1
3560070955039,skincare,3
3560070956784,skincare,2
3560070957934,skincare,2
3560070968862,haircare,1
3560070968985,haircare,4
3560070969012,haircare,1
3560070969104,haircare,1
3560070969135,haircare,1
3560070969166,haircare,2
3560070969197,haircare,2
3560070969227,haircare,1
3560071001308,skincare,1
3560071004781,skincare,1
3560071012625,skincare,1
3560071015374,skincare,1
3560071063047,skincare,1
3560071073633,skincare,2
3562631009090,skincare,2
3563210011466,skincare,1
3564700045305,skincare,1
3564700091395,haircare,2
3564700091449,haircare,2
3564700117156,skincare,1
3564700193358,skincare,2
3564700293492,skincare,4
3564700310243,skincare,2
356470043578602,haircare,1
3564700514542,skincare,1
3564700552223,skincare,1
3564700555521,skincare,1
3564700555644,skincare,1
3564700556009,skincare,2
3564700559666,skincare,3
3564700585054,haircare,1
3564700658574,skincare,1
3564700701096,skincare,1
3564700718513,haircare,2
3564700734797,skincare,2
3564700746851,skincare,2
3564700750285,skincare,1
3564700750407,skincare,3
3564700760758,skincare,1
3564700788981,skincare,4
3564700799598,haircare,1
3564700875452,skincare,2
3564700877739,haircare,7
3564700997567,skincare,2
3567730300147,haircare,1
3567730300185,haircare,7
3567730300239,haircare,1
3567730300246,haircare,2
3567730300253,haircare,2
3567730300260,haircare,2
3567730300420,haircare,2
3567730300437,haircare,1
3567730300444,haircare,2
3574134711332,skincare,3
3574660219623,skincare,3
3574660282689,skincare,2
3574660422542,skincare,1
3574660536522,haircare,2
3574660572254,skincare,7
3574660623574,skincare,1
3574660623604,skincare,1
3574660717884,skincare,1
3574660724349,skincare,2
3574661005904,haircare,2
3574661007113,haircare,1
3574661008516,skincare,2
3574661039060,haircare,2
3574661042220,skincare,1
3574661042251,skincare,1
3574661050836,skincare,2
3574661065335,skincare,1
3574661065359,skincare,3
3574661099224,skincare,1
3574661104874,haircare,1
3574661107455,skincare,1
3574661108285,skincare,2
3574661133102,haircare,2
3574661138176,skincare,1
3574661151267,skincare,2
3574661154022,skincare,2
3574661188751,skincare,2
3574661192031,skincare,2
3574661192109,skincare,1
3574661201269,skincare,2
3574661204598,skincare,1
3574661211121,skincare,2
3574661213729,skincare,2
3574661214771,skincare,2
3574661215341,skincare,2
3574661218052,skincare,2
3574661218083,skincare,2
3574661239279,makeup,2
3574661239439,makeup,2
3574661250335,skincare,1
3574661257525,skincare,1
3574661257532,skincare,1
3574661269818,skincare,1
3574661299730,skincare,1
3574661309682,haircare,2
3574661312170,skincare,2
3574661344621,haircare,2
3574661355146,skincare,1
3574661369426,skincare,1
3577056001048,skincare,1
3577056010033,skincare,1
3579488141491,skincare,1
3583788491132,skincare,1
3584250000838,skincare,2
3584250065806,skincare,2
3595899646028,skincare,2
3596204590975,skincare,1
3596205152127,haircare,1
3596205152158,haircare,2
3596205185095,skincare,2
3596206289112,skincare,2
3596207201960,skincare,1
3596209532659,skincare,1
3596490000622,skincare,4
3596490000677,skincare,1
3596490000684,skincare,1
3596490001278,skincare,1
3596490001285,skincare,1
3596490004255,skincare,2
3596710195688,skincare,2
3596710218370,haircare,2
3596710257249,skincare,1
3596710306930,skincare,3
3596710313389,skincare,2
3596710313419,haircare,2
3596710313891,skincare,2
3596710324347,skincare,1
3596710324354,skincare,2
3596710326969,skincare,2
3596710327720,skincare,2
3596710332571,skincare,2
3596710332656,skincare,2
3596710334254,skincare,1
3596710352579,skincare,2
3596710368280,skincare,2
3596710369614,haircare,2
3596710369621,haircare,2
3596710369645,haircare,1
3596710369683,haircare,1
3596710369928,skincare,2
3596710375776,skincare,2
3596710381289,skincare,1
3596710387076,skincare,2
3596710387908,skincare,2
3596710392391,haircare,2
3596710392971,skincare,2
3596710392988,skincare,2
3596710394166,skincare,2
3596710399109,skincare,2
3596710399383,skincare,2
3596710399451,skincare,2
3596710399475,skincare,1
3596710403899,skincare,2
3596710403936,skincare,2
3596710410095,haircare,2
3596710410118,skincare,2
3596710751693,skincare,2
3597610242755,skincare,1
3600520752327,haircare,1
3600520779324,makeup,1
3600520962788,haircare,2
3600520977775,haircare,4
3600521137888,haircare,1
3600521249390,skincare,1
3600521293850,skincare,1
3600521324424,haircare,2
3600521425053,skincare,2
3600521453315,haircare,2
3600521706022,haircare,2
3600521830147,haircare,3
3600521830444,haircare,1
3600521851722,haircare,1
3600521964705,makeup,2
3600522016229,haircare,2
3600522054085,skincare,2
3600522082651,makeup,2
3600522100836,haircare,2
3600522191094,haircare,2
3600522222040,makeup,2
3600522223498,haircare,1
3600522239857,haircare,2
3600522280897,haircare,1
3600522346173,skincare,2
3600522365884,skincare,2
3600522383703,haircare,2
3600522385332,skincare,2
3600522448471,haircare,2
3600522455967,skincare,1
3600522459552,makeup,2
3600522470946,haircare,2
3600522479321,haircare,2
3600522497035,haircare,2
3600522499442,haircare,2
3600522594277,haircare,2
3600522708087,makeup,2
3600522734468,skincare,2
3600522734574,makeup,2
3600522838876,skincare,1
3600522862703,haircare,2
3600522862710,haircare,2
3600522874805,skincare,3
3600522917205,haircare,2
3600522977216,haircare,3
3600522992455,haircare,2
3600523062829,skincare,1
3600523128150,haircare,2
3600523169863,haircare,2
3600523169894,haircare,2
3600523169900,haircare,2
3600523214938,haircare,2
3600523215553,haircare,2
3600523216246,haircare,2
3600523232468,skincare,2
3600523232475,skincare,2
3600523232505,skincare,2
3600523361267,skincare,4
3600523370931,haircare,1
3600523386215,haircare,1
3600523386314,haircare,1
3600523404612,makeup,2
3600523434541,skincare,3
3600523461103,skincare,1
3600523472321,haircare,2
3600523475780,skincare,1
3600523503292,makeup,3
3600523524617,haircare,1
3600523540136,haircare,2
3600523558469,haircare,1
3600523560509,haircare,1
3600523616916,haircare,5
