id,input
3600541524415,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\haircare\3600541524415.jpg
4058172703072,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\4058172703072.jpg
4305615629896,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\4305615629896.jpg
3574661593524,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\haircare\3574661593524.jpg
6111259376878,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\6111259376878.jpg
3560070311453,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\3560070311453.jpg
5901018021566,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\haircare\5901018021566.jpg
4823071656435,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\4823071656435.jpg
3560070957477,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\3560070957477.jpg
4039401751002,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\4039401751002.jpg
4311501677834,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\4311501677834.jpg
4820185227315,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\4820185227315.jpg
4066447591620,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\4066447591620.jpg
6130601012028,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\6130601012028.jpg
5694520711123,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\haircare\5694520711123.jpg
3760099730000,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\3760099730000.jpg
8690937016124,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\haircare\8690937016124.jpg
3253581754047,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\3253581754047.jpg
8017331052204,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\8017331052204.jpg
8720181456855,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\8720181456855.jpg
4006000011400,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\4006000011400.jpg
8901396368205,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\8901396368205.jpg
3141389959873,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\3141389959873.jpg
3282770396515,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\haircare\3282770396515.jpg
7453078535074,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\7453078535074.jpg
8710908317361,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\8710908317361.jpg
3760214630024,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\3760214630024.jpg
8699863459418,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\8699863459418.jpg
3263855988924,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\3263855988924.jpg
8697853217857,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\8697853217857.jpg
5000174860177,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\5000174860177.jpg
3283950040051,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\3283950040051.jpg
5013575111182,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\5013575111182.jpg
8901207044472,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\haircare\8901207044472.jpg
4005900465481,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\4005900465481.jpg
3800500324463,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\3800500324463.jpg
4010355505903,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\4010355505903.jpg
8054042630208,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\haircare\8054042630208.jpg
4311596018208,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\4311596018208.jpg
3770018286150,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\skincare\3770018286150.jpg
4056489254805,C:\Projects\cosmetic-expiry-scanner\backend\data\raw\haircare\4056489254805.jpg
