code,imgid,pred,keyword,strong,label_source
3052505050339,1,makeup,,,hand
3052505505105,2,skincare,,,hand
3054080034377,2,haircare,,,hand
3054080071105,1,skincare,,,hand
3058320006001,2,skincare,,,hand
3058320010176,2,haircare,,,hand
3058320026047,1,skincare,,,hand
3058320028201,2,skincare,,,hand
3058320052015,2,skincare,,,hand
3058325048587,2,skincare,,,hand
3058325505400,1,skincare,,,hand
3059944021302,2,skincare,,,hand
3059944023054,2,skincare,,,hand
3059944024051,2,skincare,,,hand
3059944116923,2,skincare,,,hand
3059944117050,2,skincare,,,hand
3059944117173,2,skincare,,,hand
3059944117463,3,skincare,,,hand
3059944150002,2,skincare,,,hand
3086123220720,1,skincare,,,hand
3111930016055,1,skincare,,,hand
3127734789357,1,skincare,,,hand
3140100143058,5,haircare,,,hand
3140100143089,2,haircare,,,hand
3140100143119,1,haircare,,,hand
3140100179347,2,haircare,,,hand
3140100187342,2,haircare,,,hand
3140100246506,2,haircare,,,hand
3140100249194,2,haircare,,,hand
3140100251197,2,haircare,,,hand
3140100251296,2,haircare,,,hand
3140100261301,2,haircare,,,hand
3140100261318,2,haircare,,,hand
3140100261325,2,haircare,,,hand
3140100261349,2,haircare,,,hand
3140100289343,4,haircare,,,hand
3140100290202,1,skincare,,,hand
3140100320916,2,haircare,,,hand
3140100320923,2,skincare,,,hand
3140100320930,3,skincare,,,hand
3140100320978,3,skincare,,,hand
3140100325713,1,haircare,,,hand
3140100336979,2,haircare,,,hand
3140100339581,2,haircare,,,hand
3140100339598,2,haircare,,,hand
3140100339604,2,haircare,,,hand
3140100345902,2,haircare,,,hand
3140100349689,2,haircare,,,hand
3140100349849,2,haircare,,,hand
3140700780868,2,haircare,,,hand
3141380013000,1,skincare,,,hand
3141380018944,2,skincare,,,hand
3141380042536,1,skincare,,,hand
3141380055192,2,skincare,,,hand
3145891594553,2,makeup,,,hand
3159870101007,2,skincare,,,hand
3159870466212,2,skincare,,,hand
3160920965005,2,haircare,,,hand
3160920965012,1,haircare,,,hand
3172350157134,2,skincare,,,hand
3172350157141,2,skincare,,,hand
3172350157158,2,skincare,,,hand
3178040253070,2,skincare,,,hand
3178040395329,4,haircare,,,hand
3178040429949,1,haircare,,,hand
3178040433809,2,skincare,,,hand
3178040512832,2,haircare,,,hand
3178040554931,3,skincare,,,hand
3178040567207,5,haircare,,,hand
3178040567283,2,haircare,,,hand
3178040619869,2,skincare,,,hand
3178040633179,2,skincare,,,hand
3178040638617,2,skincare,,,hand
3178040639898,4,skincare,,,hand
3178040643451,2,skincare,,,hand
3178040643819,3,haircare,,,hand
3178040643826,3,haircare,,,hand
3178040646452,2,haircare,,,hand
3178040663312,3,haircare,,,hand
3178040663329,4,haircare,,,hand
3178040667044,2,skincare,,,hand
3178040667518,2,haircare,,,hand
3178040667600,2,haircare,,,hand
3178040669536,1,haircare,,,hand
3178040671843,1,skincare,,,hand
3178040675278,2,skincare,,,hand
3178040678811,2,haircare,,,hand
3178040678859,2,haircare,,,hand
3178040678866,2,haircare,,,hand
3178040678873,4,haircare,,,hand
3178040678880,2,haircare,,,hand
3178040678897,2,haircare,,,hand
3178040680876,1,skincare,,,hand
3178040682405,1,skincare,,,hand
3178040683167,2,haircare,,,hand
3178040683822,2,haircare,,,hand
3178040687059,1,haircare,,,hand
3178040687790,5,skincare,,,hand
3178040688513,2,haircare,,,hand
3178040694149,2,skincare,,,hand
3178040694156,2,skincare,,,hand
3178040695160,2,skincare,,,hand
3178040695627,2,haircare,,,hand
3178040695825,4,haircare,,,hand
3178040699021,2,skincare,,,hand
3178041301145,2,haircare,,,hand
3178041301404,2,haircare,,,hand
3178041301534,1,haircare,,,hand
3178041301855,2,skincare,,,hand
3178041302036,4,haircare,,,hand
3178041302104,1,skincare,,,hand
3178041302111,1,skincare,,,hand
3178041302135,2,skincare,,,hand
3178041302531,2,haircare,,,hand
3178041302579,2,haircare,,,hand
3178041302586,2,haircare,,,hand
3178041302630,3,haircare,,,hand
3178041302654,1,haircare,,,hand
3178041307116,1,skincare,,,hand
3178041307147,1,haircare,,,hand
3178041307505,2,haircare,,,hand
3178041308076,2,haircare,,,hand
3178041308410,2,skincare,,,hand
3178041308694,3,haircare,,,hand
3178041308922,2,haircare,,,hand
3178041308939,3,haircare,,,hand
3178041308960,10,haircare,,,hand
3178041309011,2,haircare,,,hand
3178041309097,2,haircare,,,hand
3178041309127,3,haircare,,,hand
3178041309134,2,haircare,,,hand
3178041309578,2,haircare,,,hand
3178041310062,1,haircare,,,hand
3178041310642,8,haircare,,,hand
3178041310994,4,haircare,,,hand
3178041314725,1,skincare,,,hand
3178041315098,3,haircare,,,hand
3178041315319,2,haircare,,,hand
3178041315494,2,skincare,,,hand
3178041315791,2,skincare,,,hand
3178041315807,2,haircare,,,hand
3178041315814,2,haircare,,,hand
3178041316323,5,haircare,,,hand
3178041320221,2,haircare,,,hand
3178041321648,1,skincare,,,hand
3178041324090,2,skincare,,,hand
3178041326407,2,skincare,,,hand
3178041327895,1,skincare,,,hand
3178064429628,2,haircare,,,hand
3178514699564,2,haircare,,,hand
3181730032237,2,skincare,,,hand
3181730076217,1,skincare,,,hand
3181730125007,1,skincare,,,hand
3181730125083,1,skincare,,,hand
3181730142042,2,skincare,,,hand
3181730191170,2,skincare,,,hand
3181730192627,2,skincare,,,hand
3181730331552,3,skincare,,,hand
3181730382325,2,skincare,,,hand
3182610954113,1,skincare,,,hand
3182611231022,2,skincare,,,hand
3182611231039,2,skincare,,,hand
3182611233019,2,skincare,,,hand
3182611239158,2,skincare,,,hand
3182611351072,1,skincare,,,hand
3194660504293,1,skincare,,,hand
3213844848777,1,haircare,,,hand
3215660760127,2,skincare,,,hand
3215661210041,1,haircare,,,hand
3215661760010,1,skincare,,,hand
3215661900010,2,haircare,,,hand
3215666800018,1,haircare,,,hand
3215666800049,1,haircare,,,hand
3215666800070,1,haircare,,,hand
3215666800087,2,haircare,,,hand
3215666810048,2,haircare,,,hand
3215774018480,2,skincare,,,hand
3222471795187,2,haircare,,,hand
3222472131434,1,haircare,,,hand
3222472192787,2,skincare,,,hand
3222472560616,5,skincare,,,hand
3222473018307,2,skincare,,,hand
3222474495312,1,skincare,,,hand
3222475131356,1,skincare,,,hand
3222475444654,1,haircare,,,hand
3222475571121,1,haircare,,,hand
3222476085696,1,skincare,,,hand
3224055887493,2,skincare,,,hand
3245411903114,2,skincare,,,hand
3245411903237,2,skincare,,,hand
3245678561676,1,skincare,,,hand
3245678566909,2,makeup,,,hand
3245678567159,2,makeup,,,hand
3245678612743,1,skincare,,,hand
3245678622582,3,skincare,,,hand
3250390320678,2,haircare,,,hand
3250390320807,2,skincare,,,hand
3250390736790,1,skincare,,,hand
3250390786122,2,haircare,,,hand
3250391034253,2,skincare,,,hand
3250391151844,2,haircare,,,hand
3250391151905,2,haircare,,,hand
3250391185177,2,skincare,,,hand
3250391282777,1,skincare,,,hand
3250391292790,2,haircare,,,hand
3250391335992,3,skincare,,,hand
3250391375318,2,haircare,,,hand
3250391375349,2,haircare,,,hand
3250391375370,2,haircare,,,hand
3250391375523,2,skincare,,,hand
3250391378012,2,haircare,,,hand
3250391433247,2,skincare,,,hand
3250391473700,2,haircare,,,hand
3250391551071,2,skincare,,,hand
3250391561919,1,skincare,,,hand
3250391563647,2,skincare,,,hand
3250391572861,3,skincare,,,hand
3250391645206,2,skincare,,,hand
3250391663682,2,haircare,,,hand
3250391729715,1,haircare,,,hand
3250391906611,2,haircare,,,hand
3250391906642,2,skincare,,,hand
3250391965762,2,makeup,,,hand
3250391966806,1,skincare,,,hand
3250392066819,2,skincare,,,hand
3250392119423,2,haircare,,,hand
3250392119485,2,haircare,,,hand
3251241017594,1,skincare,,,hand
3251241025568,2,skincare,,,hand
3251241025605,1,skincare,,,hand
3251241034775,3,skincare,,,hand
3251241035130,1,haircare,,,hand
3251241035154,2,haircare,,,hand
3251241035321,1,skincare,,,hand
3251241035352,2,skincare,,,hand
3251241041667,2,skincare,,,hand
3251241042053,1,skincare,,,hand
3251241047584,2,skincare,,,hand
3251241047676,1,haircare,,,hand
3251241047737,2,skincare,,,hand
3251241047966,1,haircare,,,hand
3251248040045,2,skincare,,,hand
3251248045804,2,skincare,,,hand
3251248045859,2,skincare,,,hand
3251248046245,1,skincare,,,hand
3252550128209,1,skincare,,,hand
3252550609883,2,skincare,,,hand
3253581111550,1,skincare,,,hand
3253581171820,1,skincare,,,hand
3253581258743,2,skincare,,,hand
3253581258910,1,skincare,,,hand
3253581271155,2,haircare,,,hand
3253581288160,1,skincare,,,hand
3253581295687,1,skincare,,,hand
3253581311622,1,skincare,,,hand
3253581329832,2,makeup,,,hand
3253581344873,1,skincare,,,hand
3254560796027,2,skincare,,,hand
3256220691079,1,skincare,,,hand
3256220691116,1,skincare,,,hand
3256221674286,2,skincare,,,hand
3256223379585,1,skincare,,,hand
3256223379592,1,skincare,,,hand
3256223379622,1,skincare,,,hand
3256223379677,2,skincare,,,hand
3256223379684,1,skincare,,,hand
3256223818497,2,skincare,,,hand
3256224043997,1,haircare,,,hand
3256224069478,2,skincare,,,hand
3256224359203,1,skincare,,,hand
3256224359234,1,skincare,,,hand
3256224359241,2,skincare,,,hand
3256224359265,1,skincare,,,hand
3256224359418,2,skincare,,,hand
3256225719174,1,skincare,,,hand
3256226531638,3,skincare,,,hand
3257980578938,1,haircare,,,hand
3257980756626,5,skincare,,,hand
3257981609006,2,skincare,,,hand
3257982124898,2,haircare,,,hand
3257982124935,2,haircare,,,hand
3257982124980,2,haircare,,,hand
3257982124997,2,haircare,,,hand
3257982125000,2,haircare,,,hand
3257982125017,2,haircare,,,hand
3257982125024,2,haircare,,,hand
3257982203715,1,skincare,,,hand
3257983156201,2,skincare,,,hand
3257983156256,1,skincare,,,hand
3257983224825,2,skincare,,,hand
3257983224986,2,skincare,,,hand
3257983225051,1,skincare,,,hand
3257983361964,2,skincare,,,hand
3257983362008,1,skincare,,,hand
3257983554489,1,skincare,,,hand
3257983891720,2,skincare,,,hand
3257983891737,2,skincare,,,hand
3257983891744,2,skincare,,,hand
3257983891768,2,skincare,,,hand
3257984523514,2,haircare,,,hand
3257984523521,2,skincare,,,hand
3257984547640,2,skincare,,,hand
3257984547657,2,skincare,,,hand
3257985470695,2,skincare,,,hand
3263855630229,2,haircare,,,hand
3263855723228,2,skincare,,,hand
3263855728711,2,skincare,,,hand
3263855728919,2,skincare,,,hand
3263855734415,2,skincare,,,hand
3263855750729,2,skincare,,,hand
3263855774114,2,skincare,,,hand
3263855774213,2,haircare,,,hand
3263855775333,2,haircare,,,hand
3263855778037,2,skincare,,,hand
3263855778518,2,skincare,,,hand
3263855824017,2,skincare,,,hand
3263855882611,2,skincare,,,hand
3263855887012,1,skincare,,,hand
3263855887616,2,skincare,,,hand
3263855889535,2,skincare,,,hand
3263855889634,2,skincare,,,hand
3263855930619,2,skincare,,,hand
3263855940731,2,skincare,,,hand
3263855940830,2,skincare,,,hand
3263855948935,1,skincare,,,hand
3263855952529,2,skincare,,,hand
3263855981215,1,skincare,,,hand
3263855988610,3,skincare,,,hand
3263855988818,2,skincare,,,hand
3263855988924,3,skincare,,,hand
3263855989211,1,skincare,,,hand
3263856209318,1,skincare,,,hand
3264680004285,3,skincare,,,hand
3264680005206,4,haircare,,,hand
3264680005589,1,skincare,,,hand
3264680005619,2,skincare,,,hand
3264680011290,1,skincare,,,hand
3267822113135,2,haircare,,,hand
3267822213132,2,haircare,,,hand
3267822363134,1,haircare,,,hand
3273818840121,1,skincare,,,hand
3274871934024,2,skincare,,,hand
3274872307001,1,makeup,,,hand
3278940918823,3,skincare,,,hand
3282770014112,1,skincare,,,hand
3282770015225,2,skincare,,,hand
3282770030099,2,skincare,,,hand
3282770038965,1,haircare,,,hand
3282770072907,1,skincare,,,hand
3282770073478,3,skincare,,,hand
3282770073676,2,haircare,,,hand
3282770073782,3,haircare,,,hand
3282770107739,2,haircare,,,hand
3282770107951,1,skincare,,,hand
3282770111552,1,skincare,,,hand
3282779007504,1,haircare,,,hand
3282779008686,1,haircare,,,hand
3282779021197,1,skincare,,,hand
3282779024884,1,skincare,,,hand
3282779042673,1,skincare,,,hand
3282779049535,1,haircare,,,hand
3282779051200,3,haircare,,,hand
3282779059848,1,skincare,,,hand
3282779062671,2,skincare,,,hand
3282779168519,1,skincare,,,hand
3282779178624,1,skincare,,,hand
3282779214490,2,haircare,,,hand
3282779233699,1,haircare,,,hand
3282779316392,1,skincare,,,hand
3282779326834,1,haircare,,,hand
3282779337526,1,skincare,,,hand
3282779363815,2,skincare,,,hand
3282779399036,3,skincare,,,hand
3282779420716,1,skincare,,,hand
3283950080057,2,skincare,,,hand
3283950910255,2,skincare,,,hand
3283950910910,2,skincare,,,hand
3283950911054,2,skincare,,,hand
3283950911900,2,skincare,,,hand
3283950912594,2,haircare,,,hand
3283950914819,2,skincare,,,hand
3283950914826,2,skincare,,,hand
3283950916776,2,skincare,,,hand
3284410022129,1,skincare,,,hand
3284410031015,2,skincare,,,hand
3284410031022,2,skincare,,,hand
3284410034917,2,skincare,,,hand
3284410037895,1,skincare,,,hand
3284410038014,3,skincare,,,hand
3286010021687,1,skincare,,,hand
3286010022011,2,skincare,,,hand
3286010035400,3,skincare,,,hand
3287570131014,1,skincare,,,hand
3291960003508,1,haircare,,,hand
3298651711360,1,skincare,,,hand
3298651778172,2,skincare,,,hand
3298659746999,2,skincare,,,hand
3323037743588,1,makeup,,,hand
3327520002855,2,haircare,,,hand
3328680080653,1,skincare,,,hand
3328680080707,1,skincare,,,hand
3329310002113,2,skincare,,,hand
3329310025983,2,skincare,,,hand
3331300011968,2,skincare,,,hand
3331300026344,1,skincare,,,hand
3331300090987,2,skincare,,,hand
3331300091229,1,skincare,,,hand
3331300096460,2,skincare,,,hand
3331840550002,2,skincare,,,hand
3331849000041,2,skincare,,,hand
3331849003820,1,skincare,,,hand
3331849007552,1,skincare,,,hand
3337871310783,1,skincare,,,hand
3337871320331,2,skincare,,,hand
3337872410345,3,skincare,,,hand
3337872414145,1,skincare,,,hand
3337872414527,1,skincare,,,hand
3337873401243,1,skincare,,,hand
3337875201148,1,skincare,,,hand
3337875491419,1,skincare,,,hand
3346470116429,1,skincare,,,hand
3346470611016,1,skincare,,,hand
3346470612020,1,skincare,,,hand
3346470612068,1,skincare,,,hand
3348070010572,1,haircare,,,hand
3348070010602,1,haircare,,,hand
3348070010633,1,haircare,,,hand
3348901250313,6,skincare,,,hand
3348901292276,1,skincare,,,hand
3350031684692,2,skincare,,,hand
3350031684708,2,skincare,,,hand
3350031684722,2,skincare,,,hand
3350031684739,2,skincare,,,hand
3350031756801,2,skincare,,,hand
3350031756832,1,skincare,,,hand
3350031898143,3,skincare,,,hand
3350033018884,2,skincare,,,hand
3350033086890,1,skincare,,,hand
3350033199934,1,skincare,,,hand
3350033274761,1,skincare,,,hand
3350033362147,1,skincare,,,hand
3355312106528,1,haircare,,,hand
3355312106610,1,haircare,,,hand
3355312147125,2,haircare,,,hand
3361370627073,1,skincare,,,hand
3365000012536,2,skincare,,,hand
3378872028321,1,makeup,,,hand
3378872050919,1,makeup,,,hand
3378872050933,1,makeup,,,hand
3378872050940,2,makeup,,,hand
3378872056225,1,makeup,,,hand
3378872057529,2,makeup,,,hand
3378872061717,2,skincare,,,hand
3378872066927,2,makeup,,,hand
3378872073369,1,makeup,,,hand
3378872073673,2,makeup,,,hand
3378872073697,1,makeup,,,hand
3378872073703,2,makeup,,,hand
3378872083023,1,skincare,,,hand
3378872083498,1,skincare,,,hand
3378872085201,1,makeup,,,hand
3378872088813,1,makeup,,,hand
3378872096047,1,skincare,,,hand
3378872100072,1,skincare,,,hand
3378872103578,1,skincare,,,hand
3378872105329,1,skincare,,,hand
3380380048043,3,haircare,,,hand
3380380048081,1,skincare,,,hand
3380380060205,2,skincare,,,hand
3380380072734,2,haircare,,,hand
3380390900904,3,skincare,,,hand
3380390901154,2,haircare,,,hand
3380810108996,1,skincare,,,hand
3380810149661,1,skincare,,,hand
3380810194784,4,skincare,,,hand
3380810506105,2,skincare,,,hand
3380810646108,1,skincare,,,hand
3380811094106,1,skincare,,,hand
3380811164106,1,skincare,,,hand
3380813064107,3,skincare,,,hand
3386460008747,2,skincare,,,hand
3401320717604,2,skincare,,,hand
3401325941622,3,skincare,,,hand
3401346422155,1,skincare,,,hand
3401347507264,2,haircare,,,hand
3401353648470,5,skincare,,,hand
3401353689053,1,skincare,,,hand
3401360003750,2,skincare,,,hand
3401360159747,2,skincare,,,hand
3401360193208,3,skincare,,,hand
3401360226937,1,skincare,,,hand
3401360266759,1,skincare,,,hand
3401397163496,5,skincare,,,hand
3401399371455,1,skincare,,,hand
3401541334710,2,skincare,,,hand
3401563226963,3,haircare,,,hand
3401597601613,2,haircare,,,hand
3415900031448,1,skincare,,,hand
3415900031462,1,skincare,,,hand
3415900031479,2,skincare,,,hand
3426354084935,2,haircare,,,hand
3426354085017,1,haircare,,,hand
3426354085024,1,haircare,,,hand
3426354085031,2,haircare,,,hand
3426354085994,1,haircare,,,hand
3433422404533,1,skincare,,,hand
3433840177347,2,skincare,,,hand
3440814204596,1,skincare,,,hand
3440815112791,1,skincare,,,hand
3450051306113,2,skincare,,,hand
3450270012031,2,skincare,,,hand
3450270012581,2,skincare,,,hand
3450270012772,2,skincare,,,hand
3450270016152,2,skincare,,,hand
3450270016169,2,skincare,,,hand
3450270016176,1,skincare,,,hand
3450270016862,1,skincare,,,hand
3450601019234,1,skincare,,,hand
3450601021879,2,skincare,,,hand
3450601021893,2,skincare,,,hand
3450601021978,2,haircare,,,hand
3450601022036,1,haircare,,,hand
3450601024375,1,skincare,,,hand
3450601026614,3,skincare,,,hand
3450870021136,1,haircare,,,hand
3450970118651,2,haircare,,,hand
3450970118859,1,skincare,,,hand
3455270841216,1,skincare,,,hand
3461922010206,2,haircare,,,hand
3464660002021,1,haircare,,,hand
3466761799381,1,makeup,,,hand
3466761831487,1,skincare,,,hand
3466761831494,1,skincare,,,hand
3466761831531,1,skincare,,,hand
3466762030414,1,skincare,,,hand
3466762096007,1,skincare,,,hand
3466762096038,1,skincare,,,hand
3466762096045,1,skincare,,,hand
3466762096069,1,skincare,,,hand
3468080001718,1,skincare,,,hand
3468080108325,1,skincare,,,hand
3468080141001,2,haircare,,,hand
3468080141261,3,haircare,,,hand
3468080150157,2,skincare,,,hand
3468080401976,2,skincare,,,hand
3468080401990,2,skincare,,,hand
3468080408159,2,skincare,,,hand
3470320200317,2,haircare,,,hand
3470860003201,1,haircare,,,hand
3474393011085,1,makeup,,,hand
3474393019470,2,makeup,,,hand
3474394100009,1,makeup,,,hand
3474630098251,1,haircare,,,hand
3474630128903,2,haircare,,,hand
3474630283626,1,haircare,,,hand
3474630288072,2,haircare,,,hand
3474630478244,1,haircare,,,hand
3474630515499,4,haircare,,,hand
3474630515628,3,haircare,,,hand
3474630527584,1,haircare,,,hand
3474630535053,2,haircare,,,hand
3474630618435,1,haircare,,,hand
3474630627017,2,haircare,,,hand
3474630643161,3,haircare,,,hand
3474630644786,4,haircare,,,hand
3474630648456,4,haircare,,,hand
3474630714601,1,haircare,,,hand
3474635000952,1,haircare,,,hand
3474636265558,2,haircare,,,hand
3474636382842,2,haircare,,,hand
3474636382880,5,haircare,,,hand
3476132177199,1,skincare,,,hand
3478820035866,2,skincare,,,hand
3478820303453,1,skincare,,,hand
3478821003680,2,skincare,,,hand
3478821111033,2,haircare,,,hand
3478821111118,1,skincare,,,hand
3489940034035,1,skincare,,,hand
3489940049237,1,haircare,,,hand
3489940049251,3,haircare,,,hand
3489940067040,1,skincare,,,hand
3489940067064,1,skincare,,,hand
3489940067071,1,skincare,,,hand
3489940067088,1,skincare,,,hand
3489940070569,6,skincare,,,hand
3504105024567,2,skincare,,,hand
3504105027315,2,skincare,,,hand
3504105028312,1,skincare,,,hand
3504105029982,3,skincare,,,hand
3504108012936,3,skincare,,,hand
3504108012950,3,skincare,,,hand
3504750002019,1,skincare,,,hand
3506770302001,2,skincare,,,hand
3506770303015,2,skincare,,,hand
3506770501008,2,skincare,,,hand
3511720000005,2,skincare,,,hand
3511720100088,1,skincare,,,hand
3511720107100,3,skincare,,,hand
3511720115679,2,skincare,,,hand
3511720117970,1,skincare,,,hand
3511720118908,1,skincare,,,hand
3511720118915,1,skincare,,,hand
3511724263970,2,skincare,,,hand
3511728094006,1,skincare,,,hand
3511728571002,1,skincare,,,hand
3515775772108,2,haircare,,,hand
3516170012868,1,skincare,,,hand
3516170022751,2,skincare,,,hand
3516170024878,1,skincare,,,hand
3517360002485,2,skincare,,,hand
3517360002577,2,skincare,,,hand
3517360003208,1,skincare,,,hand
3517360003314,1,skincare,,,hand
3517360003710,1,skincare,,,hand
3517360005998,2,skincare,,,hand
3517360006162,2,skincare,,,hand
3517360006261,2,skincare,,,hand
3517360009552,2,skincare,,,hand
3517360009781,1,skincare,,,hand
3517360009804,1,skincare,,,hand
3517360010831,1,makeup,,,hand
3517360011449,1,skincare,,,hand
3517360012262,1,skincare,,,hand
3517360012538,1,haircare,,,hand
3517360012743,1,skincare,,,hand
3517360012781,1,skincare,,,hand
3517360014327,2,makeup,,,hand
3518301023132,1,skincare,,,hand
3518646023415,1,skincare,,,hand
3518646023477,1,skincare,,,hand
3518646023484,1,skincare,,,hand
3518646087240,1,skincare,,,hand
3518646213014,1,skincare,,,hand
3522930000891,1,skincare,,,hand
3522930001430,2,skincare,,,hand
3522930001577,2,skincare,,,hand
3522930001812,1,skincare,,,hand
3522930003526,1,skincare,,,hand
3522930003694,1,skincare,,,hand
3522930003731,2,haircare,,,hand
3522930003786,1,skincare,,,hand
3522932031787,2,skincare,,,hand
3522933031427,1,skincare,,,hand
3528280070706,3,skincare,,,hand
3538394612730,1,skincare,,,hand
3538394612839,2,skincare,,,hand
3538394612938,2,skincare,,,hand
3538394920033,1,haircare,,,hand
3545234101019,1,makeup,,,hand
3549620003093,2,skincare,,,hand
3549620005042,1,skincare,,,hand
3549620005059,2,skincare,,,hand
3549620005073,2,skincare,,,hand
3549620005608,2,skincare,,,hand
3549620005813,1,skincare,,,hand
3549620006049,1,skincare,,,hand
3549620007022,2,skincare,,,hand
3549620008203,2,haircare,,,hand
3549620008227,1,haircare,,,hand
3549620008265,3,haircare,,,hand
3549620008296,1,haircare,,,hand
3549620008302,2,haircare,,,hand
3549620008319,2,haircare,,,hand
3549620008333,1,haircare,,,hand
3549620009033,1,skincare,,,hand
3549620020335,2,skincare,,,hand
3560070169290,2,skincare,,,hand
3560070169924,1,skincare,,,hand
3560070211623,2,skincare,,,hand
3560070231614,2,skincare,,,hand
3560070272426,1,skincare,,,hand
3560070311453,3,skincare,,,hand
3560070333912,2,skincare,,,hand
3560070337651,1,skincare,,,hand
3560070397921,2,haircare,,,hand
