code,manual_label
6176000106906,skincare
42349853,skincare
8436097095148,skincare
8809370696286,skincare
6294019000166,skincare
4305615344829,skincare
5060391844190,skincare
0094000459166,skincare
5606859404980,skincare
3701488808559,skincare
6412600843323,skincare
4005900727855,skincare
6130730000491,skincare
8886467020155,skincare
0609332833753,skincare
8964001078685,skincare
3701129803523,skincare
3616305448378,skincare
3337875945820,skincare
8718951544383,skincare
3661467002333,skincare
7891024123560,skincare
3574661646992,skincare
3760162122114,skincare
0840044700845,skincare
3760361730004,skincare
6132064300155,haircare
8712561342612,skincare
8720181564734,skincare
8001120929730,skincare
2200214695964,skincare
7610849932771,skincare
3468080150973,skincare
3600542500449,skincare
8710908100673,skincare
5028197946937,haircare
3145891430400,skincare
5205962004096,skincare
3245678709122,skincare
3538396120509,skincare
0811068019312,skincare
3600524066499,skincare
3770010742067,skincare
3282770072747,skincare
4006000172224,skincare
3014260000318,skincare
8714100138649,skincare
3600524242817,makeup
8901030753992,skincare
8710678024087,haircare
6221155130792,skincare
8717931608909,skincare
3282770153071,skincare
4056489236283,skincare
3770013745683,skincare
7906100784464,skincare
0309047751273,skincare
8994993014699,skincare
8718951321588,skincare
3222477570238,skincare
3600524070588,skincare
3770007655011,skincare
3760239240987,skincare
0792850110007,skincare
5045098681170,skincare
3760115092518,skincare
5028197269623,skincare
0813424021168,skincare
00590471,skincare
8720181311017,skincare
8809541199950,skincare
8050043996541,skincare
5900273002358,skincare
8718951741225,skincare
0629283001308,skincare
8720181851445,skincare
3600550809329,skincare
7319470058385,skincare
4015100892901,haircare
3337875904285,skincare
8001090639738,haircare
8480000442185,haircare
3600542460439,haircare
5037156251883,haircare
0765573949292,haircare
8998866106399,haircare
4015100190199,haircare
3596710538720,haircare
8700216533072,haircare
0022796170811,haircare
4511413524039,haircare
5060120169280,haircare
0021959051165,haircare
4066447330915,haircare
8901207038457,haircare
7290011521141,haircare
4015100292312,haircare
0875408004345,haircare
8001090384034,haircare
4056489994145,haircare
8717163689844,haircare
3250392602840,haircare
8712207080250,skincare
3489940070590,haircare
0022796918925,haircare
8021983812680,haircare
3245678612613,haircare
10522767,haircare
3178041328012,haircare
6281006534902,haircare
4025089078142,haircare
0011131399802,haircare
8901088210577,haircare
5010724526774,haircare
8402001005671,haircare
0381519186769,haircare
3760060280367,haircare
5701058010281,haircare
6937854918035,haircare
6281006443617,haircare
8435268322939,haircare
3348901141628,haircare
8006540498576,haircare
01134162,haircare
8051414384356,haircare
4072600255285,haircare
4015100336702,haircare
8001841413563,haircare
8719587159583,haircare
3600542117920,haircare
0736990013552,haircare
8904091136063,haircare
3612623383452,haircare
9000101207453,haircare
8904109463082,haircare
9310692415145,haircare
5017634119003,haircare
3564700850688,haircare
5028197171865,haircare
30152199,makeup
8719134161076,haircare
8411126066429,haircare
0071164303160,haircare
9551345259789,haircare
8720181576652,haircare
5011321595200,haircare
0609332833920,makeup
4066447974522,haircare
3600523611935,makeup
6955545460854,makeup
30144491,makeup
8411061056769,skincare
3600523794881,makeup
5410443814501,makeup
4059729587626,makeup
30189355,makeup
3532663067061,makeup
4059729542038,makeup
30190122,makeup
3600524246877,haircare
6928609066156,makeup
3600524188450,makeup
30149311,makeup
4005900802958,skincare
0041260010781,makeup
8993137685429,makeup
3662217005147,makeup
8850006590355,skincare
7891033926329,haircare
3760098407637,makeup
3614221187418,makeup
0609332848221,makeup
3616303185855,makeup
3600523351244,haircare
3600541116382,makeup
0769915190670,skincare
3600531712686,makeup
30188457,makeup
3600531691905,makeup
3600531698621,makeup
