path,true_label,pred_label,confidence,bucket
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\skincare\5203411048851.jpg,skincare,haircare,0.6559754014015198,hard_photo
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\haircare\8714789880518.jpg,haircare,skincare,0.6862850785255432,ambiguous_product
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\haircare\0787790589761.jpg,haircare,skincare,0.6101542711257935,clear_wrong
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\skincare\0041167043660.jpg,skincare,haircare,0.7359068393707275,hard_photo
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\haircare\3574661563312.jpg,haircare,skincare,0.7090085744857788,hard_photo
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\haircare\3574661575209.jpg,haircare,skincare,0.9691238403320312,clear_wrong
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\skincare\0353935000004.jpg,skincare,haircare,0.7233112454414368,clear_wrong
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\skincare\4066447240306.jpg,skincare,makeup,0.5189307332038879,ambiguous_product
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\haircare\3350033639409.jpg,haircare,skincare,0.7288199067115784,hard_photo
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\skincare\8718951068520.jpg,skincare,haircare,0.574994683265686,clear_wrong
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\haircare\10522768.jpg,haircare,skincare,0.57417893409729,hard_photo
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\haircare\3282779392549.jpg,haircare,skincare,0.8350173234939575,clear_wrong
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\makeup\8906015580402.jpg,makeup,skincare,0.7365792393684387,ambiguous_product
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\makeup\3600523723485.jpg,makeup,haircare,0.6406530141830444,ambiguous_product
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\skincare\3600542105965.jpg,skincare,haircare,0.8060739636421204,hard_photo
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\skincare\3367729021028.jpg,skincare,haircare,0.6141902804374695,hard_photo
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\skincare\3515450016527.jpg,skincare,haircare,0.7430106997489929,ambiguous_product
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\haircare\3610340673887.jpg,haircare,skincare,0.5238120555877686,clear_wrong
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\skincare\3401397163496.jpg,skincare,makeup,0.44278013706207275,hard_photo
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\haircare\3760378510415.jpg,haircare,skincare,0.7884759306907654,hard_photo
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\haircare\8909106076419.jpg,haircare,skincare,0.8931195139884949,hard_photo
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\haircare\0381519188824.jpg,haircare,skincare,0.7234779000282288,clear_wrong
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\haircare\0638489001852.jpg,haircare,skincare,0.7984542846679688,hard_photo
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\skincare\0030772018460.jpg,skincare,haircare,0.7123993039131165,ambiguous_product
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\skincare\4056489368182.jpg,skincare,haircare,0.62159264087677,ambiguous_product
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\skincare\3770013899003.jpg,skincare,makeup,0.5499468445777893,clear_wrong
c:\Projects\cosmetic-expiry-scanner\backend\data\raw_v1_clean\haircare\3660005563718.jpg,haircare,skincare,0.45989954471588135,hard_photo
