code,pred,keyword,product_name_text,generic_name_text,manual_label
3245678562307,skincare,gel douche,GEL DOUCHE ET BAIN A LA MÛRE SAUVAGE et A LA GRENADE,GEL DOUCHE ET BAIN A LA MÛRE SAUVAGE et A LA GRENADE,
8718951727656,skincare,deodorant,Sanex Derma Care Protector 48H Antitranspirant Deodorantspray,Geniet van de frisse geur van Sanex Dermo Protector Spray. De milde spray gaat lichaamsgeurtjes tegen en laat je huid ademen. Je oksels voelen de hele dag droog aan.,
7340011437383,skincare,hand soap,hand soap,,
0823638083029,skincare,cleanser,Monoi Age Corrective Exfoliating Cleanser,,
3245678042175,skincare,gel douche,Cosmia bio gel douche relaxant amande douce,Cosmia bio gel douche relaxant amande douce,
8886467020124,skincare,body cream,Nourishing body cream,,
4059729340917,skincare,booster,Beauty Booster Collagen drink,,
9421008705604,skincare,deodorant,asano deodorant,,
8717163714348,skincare,gel douche,Dove Gel Douche Soin Infusée à l'Huile d'Argan Lot 2x400ML,Dove Gel Douche,
3250391438136,skincare,deodorant,Deodorant 24h,,
3350033188396,skincare,gel douche,Gel douche hydratant parfum citron,,
4021457614233,skincare,savon,Savon liquide,,
8720181196140,skincare,deodorant,Rexona Men Advanced Protection Quantum Dry Antitranspirant Deodorant Spray,"Met Rexona Men Quantum Dry Deodorant Spray ben je 48 uur lang verzekerd van frisse en schone oksels, hoe warm het buiten ook is.",
3596200062063,skincare,lait corps,Lait corps hydration,,
0667534781098,skincare,hand cream,Nourishing hand cream,,
8809115021793,skincare,serum,Hamel Pure Shot Serum,,
3337875762908,skincare,serum,Vichy Mineral 89 serum 30ml,,
3245678704400,skincare,nettoyant,Eau nettoyante,Eau nettoyante,
8720674244259,skincare,clay mask,Kruidvat Pore Detox Clay Mask,,
8901138819668,skincare,face wash,Natural Glow Kesar Face Wash,,
3538893334010,skincare,mousse à raser,Mousse à raser,,
4010355507280,skincare,serum,Rough Nature Bartserum,,
8999999606886,skincare,serum,Vaseline Healthy Bright SPF 30 PA++ Gluta Vitamin Sunscreen Serum,,
0371661829607,skincare,sunscreen,up & up sport sunscreen lotion,,
8006540328668,skincare,serum,Olay Vitamin C + Aha24 Serum,,
8720181546495,skincare,deodorant,Axe Africa Deodorant & Bodyspray,Axe Africa Bodyspray Deodorant is een exotische geur die je zintuigen stimuleert. Zo ruik jij onweerstaanbaar lekker tijdens jouw wildste avonturen.,
8992796011204,skincare,cleanser,Viva Milk Cleanser Cucumber,,
8718951433083,skincare,shower gel,Sanex Zeron % dry skin shower gel,,
4005808781874,skincare,shower gel,Nivea men shower gel pure impact 500ml,,
8058664129386,skincare,shower gel,Bath and shower gel Baby Moments Kids,,
3286011059702,skincare,cleanser,Body hair cleanser,,
27050323,skincare,nettoyant,BIOCURA lait nettoyant,,
3245678709078,skincare,nettoyant,Lingettes nettoyantes,Lingettes nettoyantes,
8422410420841,skincare,deodorant,Deodorant,,
0190679000088,skincare,essence,herbal essences,,
8809670680848,skincare,serum,Niacinamide serum,,
4006000155968,skincare,serum,NIVEA Cellular Expert Filler Vitamine C Radiance Renewing Serum,,
3605971463365,skincare,cleanser,Age Defender Dual Action Exfoliating Cleanser,,
0641628501731,skincare,cleansing balm,Pro-Collagen Rose Cleansing Balm,,
0813424021168,skincare,deodorant,Deodorant,,
06244810,skincare,savon,Savon de toilette aux huiles essentielles,,
3433422406834,skincare,toner,Clarifying Toner,,
3282770207774,skincare,nettoyant,Avene - Gel nettoyant,,
3245678044490,skincare,gel douche,Cosmia gel douche et bain lait hydratant a la noix de coco,Cosmia gel douche et bain lait hydratant a la noix de coco,
4058172483394,skincare,savon,Savon,,
8717163762141,skincare,shower gel,Shower Gel,,
4005900679178,skincare,deodorant,Fresh Comfort,Deodorant,
3564700389232,skincare,nettoyant,Eau nettoyante hydratante,,
00813745,skincare,lip balm,Chap Ice Kiwi Lime Lip Balm,,
3567730700046,skincare,lait corps,Lait corps intensif,,
5028197943417,skincare,nettoyant,Nettoyant doux visage,,
3596710191116,skincare,mousse a raser,Mousse a raser peaux fragiles,,
6251007003158,skincare,body wash,HIGEEN HAND&BODY WASH,,
3700593603936,skincare,savon,Persavon lessive 0%,,
0856556004111,skincare,serum,C-Firma™ Vitamin C Day Serum,,
3770033200360,skincare,body oil,Tania Wursig,Body oil,
0012044037539,skincare,deodorant,Swagger Deodorant,,
3222475427664,skincare,lait corps,Lait corps nourrissant Ysiance,,
0840155603677,skincare,body lotion,Daily 50 Body Lotion,,
3614229376777,skincare,cleanser,Nature In A Jar Gentle Detoxifying Cleanser With Agave,,
8719325558869,skincare,hand soap,hand soap,,
8002340017542,skincare,deodorant,Deodorante vapo no gas,,
3600524202651,skincare,serum,L'Oréal Paris Men Expert Derma Control Anti-Blemish Serum,,
3560070743209,skincare,nettoyant,Spray nettoyant ,,
0680569529657,skincare,lip balm,Lip Balmy,Lip Balmy,
3760135010035,skincare,cleanser,Advanced cleanser,,
3600524266868,skincare,serum,L'Oréal Paris Revitalift Serum,,
4335619124745,skincare,cleanser,Hydrating facial cleanser,,
4056489586852,skincare,shower gel,shower gel coconut,,
3666057288104,skincare,sunscreen,Clarnis 30 Sunscreen,,
3245678703892,skincare,lait corps,Cosmia b - lait corps et massage - pour une douce nuit avec de l'extrait de camomille hydratant - bébé - 500 ml,Cosmia b - lait corps et massage - pour une douce nuit avec de l'extrait de camomille hydratant - bébé - 500 ml,
4550512979517,skincare,cleansing balm,Cleansing balm (anti-oxident(,,
3701436910556,skincare,savon,Savon au parfum énergisant,,
3245678671146,skincare,savon,Savon doux à l'huile d'amande douce,Savon doux à l'huile d'amande douce,
8697420535742,skincare,micellar,compact micellar cucumber,,
8431876282030,skincare,booster,Crema antiedad de día para todo tipo de pieles booster plan,,
8710847929052,skincare,body wash,Dove Body Wash,,
7640163065473,skincare,liquid soap,Hand Nourishing Liquid Soap,,
0607203023814,skincare,sheet mask,facial sheet mask,,
0665138000386,skincare,savon,savon vert pour les mains,,
0764302271239,skincare,bar soap,Shea Moisture Bar Soap,,
7290113146600,skincare,body lotion,Moroccan oil body lotion,,
8721073618474,skincare,body oil,body oil,,
0079400017437,skincare,deodorant,Sexy Intrigue Invisible Solid Antiperspirant & Deodorant Stick,,
0776288678728,skincare,hand soap,Cucina Hand Soap,,
8432583831382,skincare,savon,Savon,,
0811346020269,skincare,body wash,Unwind Amber & Lavender Hydrating Body Wash,,
8809576261059,skincare,serum,SKIN1004 Madagascar Centella Hyalu-Cica Blue Serum,,
0810020173697,skincare,body lotion,SPF 50+ Body Lotion,,
0079400597328,skincare,antiperspirant,Antiperspirant,,
3574661774602,skincare,serum,Neutrogena Hydro Boost Ultrahydraterend Serum,,
6297000442600,skincare,body lotion,Yardley Lavender body lotion 200ml 2yrs prod,,
4005900457745,skincare,deodorant,NIVEA Black & White Invisible Fresh Antitranspirant Spray,"Nivea Black & White Fresh Deodorant Spray beschermt 48 uur tegen transpiratie, witte strepen op zwarte kleding en gele vlekken in witte kleding. De deodorant heeft een extra frisse sensatie.",
9192292141316,skincare,body cream,go with the flow Body Cream,,
3178041315432,haircare,shampoo,Shampooing longueurs sublimes,,
4902430634014,haircare,conditioner,pantene conditioner (p) 13ml,,
10467630,haircare,shampoo,car shampoo 2 In 1,,
8901030943355,haircare,conditioner,Dove intense repair conditioner,,
4066447240849,haircare,shampoo,Tiefenreinigung Shampoo,,
0028367837770,haircare,conditioner,Kiss My Face Whenever Conditioner,,
0080878192724,haircare,conditioner,pantene essential oils volumizing conditioner,,
0190679007100,haircare,shampoo,honey and vitamin b shampoo,,
8006540739136,haircare,shampoo,Shampoo,,
7350001701486,haircare,shampoo,Shampoo for damaged ord dry hair,,
3286010064615,haircare,shampoo,Shampooing Anti-pelliculaire,,
0080878195251,haircare,shampoo,Pantene Daily Moisture Shampoo,,
0011131399802,haircare,shampoo,Golden morocco argan oil shampoo,,
5060120170217,haircare,shampoo,XHC Hemp Shampoo,,
3178041363112,haircare,soin cheveux,Soin cheveux Elixir de Nuit Reconstruit la Fibre Capillaire Gliss SCHWARZKOPF,,
3574669907736,haircare,shampoo,Johnson baby shampoo 750ml,,
3600522496038,haircare,shampoo,Shampoo,,
4511413524039,haircare,shampoo,DHC Q10 shampoo,,
3250392602840,haircare,shampoo,Shampooing familial 2en1,Shampooing,
8001841389486,haircare,shampoo,Shampoo,,
8710447307557,haircare,shampoo,Timotei Kids Shampooing Démêlant 2en1 Senteur Rose Ne Pique Pas les Yeux,Shampooing Démêlant 2en1,
0022796910912,haircare,shampoo,coconut milk shampoo,,
6281006534971,haircare,conditioner,Keratin smooth and straight conditioner,,
8713713063850,haircare,shampoo,Lucovitaal Eczeem Psoriasis Shampoo,"Lucovitaal Eczeem Psoriasis Shampoo is geschikt voor de behandeling van eczeem en psoriasis. Gebruik de shampoo twee tot drie keer in de week, ter verlichting van de jeukende, rode, schilferige en droge hoofdhuid.",
3600521571385,haircare,laque,Laque,,
3474636920204,haircare,shampoo,Extreme Shampoo,,
3600550817560,haircare,shampoo,Après-shampooing Nutri Extrême,,
5901887042006,haircare,shampoo,Argan & Tsubaki Oil Shampoo,,
4072600255285,haircare,shampoo,Shampoo,,
5291375000220,haircare,shampoo,Hegenol haircare shampoo,,
5901742001247,haircare,shampoo,SEIDEL Shampoo z chlorhexydyną i ketokonazolem,,
0190679004772,haircare,conditioner,Hello Hydration Conditioner,,
0079400475510,haircare,shampoo,Shampoo caballero,,
0079400075550,haircare,shampoo,Daily Moisture Shampoo,,
4260285396311,haircare,shampoo,Festes Shampoo mit Aloe vera,,
8480000443373,haircare,shampoo,Argan oil shampoo,,
6291069756357,haircare,shampoo,Dabur amla kids shampoo,,
3574661474915,haircare,shampoo,Baby Shampoo,,
4066447276787,haircare,shampoo,Trockenshampoo Honululu,,
0720260691779,haircare,shampoo,Shampoo,,
8008970011622,haircare,shampoo,Shampoo,,
3600523426492,haircare,shampoo,Shampooing apaisant Phytoclear Antipelliculaire,,
0803954303292,haircare,shampoo,sirius groom shampoo,,
0052800673779,haircare,conditioner,Deeply Restoring Pracaxi Recovery Oil Conditioner,,
4021457620005,haircare,shampoo,Shampooing éclat & Souplesse Bio Fleurs De Mauve & Extrait De Perle - 250ML - Lavera Hair,,
8720254710556,haircare,shampoo,Naïf Baby & kids nourishing shampoo,,
8022297064253,haircare,shampoo,shampoo,,
4987176072993,haircare,shampoo,Shampoo,,
8410436354622,haircare,shampoo,Shampoo Bar Repairing,,
4800888151704,haircare,shampoo,Clear (SPORTS) (SHAMPOO) (blue) 12ml,,
4010355306456,haircare,shampoo,alverde coffein shampoo,,
3600542512237,haircare,conditioner,Garnier Loving Blends Magnetic Charcoal  Conditioner,,
8480017166487,haircare,shampoo,BONTE shampoo oliva cabello muy seco,,
8717644384329,haircare,shampoo,Shampoo Sunsilk Aloe Vera tutti i capelli,,
3327520004347,haircare,leave-in,LEAVE-IN,,
8901030996153,haircare,shampoo,shampoo,,
6281006535022,haircare,conditioner,Conditioner hour volume and body,,
4058172786716,haircare,shampoo,Festes Shampoo,,
8712561571333,haircare,conditioner,Intenstive Repair Conditioner,,
3600542572163,haircare,conditioner,Garnier Loving Blends Rice Water Infusion & Zetmeel Gladmakende Conditioner,,
0079400588531,haircare,shampoo,Suave Clarifying Shampoo,,
0764302023111,haircare,shampoo,Anti-Dandruff Shampoo,,
71196466,haircare,hair oil,Love nature body & hair oil,,
4208862772000400,haircare,shampoo,Shampoo Justk,,
8710522682319,haircare,shampoo,Timotei Shampooing Femme Illuminant 2x300ml,Shampooing,
7897515655411,haircare,shampoo,Episoothe shampoo,,
8480000442536,haircare,shampoo,shampoo color intense,,
8700216500739,haircare,conditioner,Pantene Active Pro-V Repair & Protect 3 Minute Miracle Conditioner,,
6291069701272,haircare,shampoo,Shampoo,,
3474636628902,haircare,shampoo,Shampooing neutralisant pour blonds froids Açai Polyphenols Blondifier Cool,,
8006530004480,haircare,shampoo,Head & Shoulders Classic 2-in-1 Antiroosshampoo,Head & Shoulders Classic 2-in-1 Anti-Roos Shampoo Met Conditioner reinigt je haar en zorgt ervoor dat het mooi gehydrateerd is.,
0065743085080,haircare,shampoo,Shampoo 2in1 kiwi and avocado,,
6281006534902,haircare,conditioner,Conditioner botanix curl hydration,,
8901030704307,haircare,shampoo,Dove shampoo,,
4015100292152,haircare,shampoo,schauma shampoo,,
4021457640829,haircare,shampoo,Shampooing Volume & Vitalité,,
3600524148881,haircare,shampoo,L'Oréal Paris Elvive Multivitamines 2-In-1 Shampoo,"Heb je normaal haar en zoek je een shampoo die je haar kracht en glans geeft? L'Oréal Paris Elvive Multivitamines 2-in-1 Verzorgende Shampoo bevat Provitamine B5, PP en E, welke je haar sterk, glanzend en veerkrachtig maken.",
3350033156678,haircare,laque,Laque fixation extra forte,,
3600523966042,haircare,shampoo,Color Shampoo,,
8719238021139,haircare,hair mask,Cactus Hair Mask,,
4008666218384,haircare,shampoo,shampoo,,
9300607375008,haircare,shampoo,Neutrogena T/Gel shampoo,,
0813481020579,haircare,shampoo,"Organic natural shampoo bar, herb garden",,
3600551103693,haircare,shampoo,le shampooing très doux,,
5037156299090,haircare,shampoo,John Frieda Volume Lift Lightweight Shampoo,Geef je haar meer volume en ontwar het tegelijkertijd met John Frieda Luxurious Volume Touchably Full Shampoo.,
3760121213518,haircare,shampoo,Shampooing Douche,,
3560071257293,haircare,shampoo,Solid shampoo,,
3760100683097,haircare,masque cheveux,masque cheveux,,
5410091775605,haircare,conditioner,Syoss Intense Keratin Deep Conditioner,,
0022796936110,haircare,shampoo,Argan Oil Shampoo,,
8004395007509,haircare,shampoo,shampooing barbe,,
30188471,makeup,concealer,L'Oréal Paris True Match Radiant 11N Serum Concealer,,
30188204,makeup,concealer,L'Oréal Paris True Match Radiant 1R Serum Concealer,,
4059729192189,makeup,loose powder,Glow Illusion Loose Powder translucent radiance,,
3600523614400,makeup,foundation,L'Oreal Infallible Foundation Porcelaine 015,,
30188211,makeup,concealer,L'Oréal Paris 1.5N True Match Radiant Serum Concealer,,
01897166,makeup,nail polish,acetone free nail polish remover,,
3600524241773,makeup,lipstick,L'Oréal Paris Color Riche Blurred 570 Worth It Intense Matte Lipstick,,
3600523924226,makeup,primer,L'Oreal Infallible Grip Primer,,
8402001021114,makeup,gloss,Brillo de labios Pearly gloss Universe 02 plata,,
3607349316723,makeup,eyeliner,Manhattan Eyemazing Eyeliner,,
5021044013332,makeup,mascara,Maybelline New York Volum'Express Black Mascara,,
4059729583970,makeup,foundation,Essence Silky Blur 178 Hydrating Longwear Foundation,,
0689304188890,makeup,eyeshadow,Nouveau Eyeshadow Palette,,
4059729277114,makeup,concealer,Catrice True Skin Neutral Biscuit High Cover Concealer,,
09600033,makeup,lipstick,Lipstick,,
30188556,makeup,blush,L'Oréal Paris Lumi Le Liquid 635 Worth It Blush,,
4027800081158,makeup,eyebrow,Wilkinson Eyebrow Razors - 3 units,,
0717897059515,makeup,eye shadow,Utla River North Eye Shadow,,
3600531369361,makeup,foundation,Maybelline Foundation Matte&Poreless Fair Ivory102,,
3600521615386,makeup,gloss,L'Oréal Paris Casting Crème Gloss 734 Honing Amber Verzorgende Haarkleuring,Deze semi-permanente haarkleuring geeft je haar een natuurlijke kleur met rijke nuances. L'Oréal Paris Casting Créme Gloss 734 Goudkoperblond Haarkleuring geeft je haar een optimale grijsdekking en glans.,
5056369152770,makeup,mascara,full volume mascara jump up,,
4059729587329,makeup,blush,Catrice Soft Blur 050 Born To Blonze Powder Blush,,
3600523500222,makeup,concealer,L'Oreal True Match Concealer Golden Beige 3D/W,,
3600522405115,makeup,gloss,Casting Creme Gloss 554 S.Choco,,
3600531589400,makeup,lipstick,Maybelline Lipstick Color Sense Coral Rise 344,,
3600531411114,makeup,lipstick,Maybelline New York SuperStay Matte Ink 20 Pioneer Lipstick,"DeMaybelline New York SuperStay Matte Ink 20 Pioneer Lipstick is een langhoudende rode lippenstift met een trendy, ultramatte finish die tot 16 uur blijft zitten.",
9555250007312,makeup,foundation,Silkygirl Skin Perfect Liquid Foundation,,
4059729542052,makeup,concealer,Essence Silky Blur 100 Hydrating Longwear Concealer,,
5037156251241,makeup,correcteur,Sheer blonde correcteur couleur,,
3600530695881,makeup,lipstick,Maybelline New York Superstay 24h 444 Cosmic Coral Lipstick,"Maybelline SuperStay 24H 444 Cosmic Coral Lipstick is een 24 uur langhoudende lippenstift die ongekend lang op z n plaats blijft. Biteproof, smudgeproof en kissproof, dus ook nog steeds mooi na het eten, zoenen of afvegen van je mond.",
3600531638900,makeup,concealer,Maybelline New York Instant Perfector 4-in-1 Glow 04 Deep Concealer,,
4059729542038,makeup,concealer,Essence Silky Blur 90 Hydrating Longwear Concealer,,
30168121,makeup,mascara,Maybelline Mascara Snapscara Black,,
0800897005269,makeup,primer,NYX Professional Makeup Pore Filler Blurring Primer,,
3600523806881,makeup,gloss,Casting Creme Gloss 410 Cool Chestnut,,
4059729583710,makeup,foundation,Essence Silky Blur 155 Hydrating Longwear Foundation,,
3600531691875,makeup,foundation,Maybelline New York Superstay 140 Lumi Matte Foundation,,
9331880040635,makeup,pressed powder,MCoBeauty Miracle Flawless  3 Medium Warm Pressed Powder,,
5410091767952,makeup,gloss,Gliss Liquid Silk Anti-Klitspray,"Dof, breekbaar haar? Schwarzkopf Gliss Kur Liquid Silk Gloss Anti-Klit Spray zorgt voor directe doorkambaarheid en glans.",
3600531453435,makeup,foundation,Maybelline Foundation Mat.&Porel.Fair Porcelain,,
30173637,makeup,concealer,L'Oreal Concealer Infallible Biscuit 328,,
5028197121990,makeup,bb cream,The Body Shop Vitamin E Cool BB Cream,,
0855586004375,makeup,lipstick,Velvet Hug Luxe Matte Lipstick,,
3600524050856,makeup,eyeliner,L'Oréal Paris Infaillible Haute Precision 30 Blue Suede Liquid Eyeliner,,
6920523508026,makeup,eyebrow,BB Eyebrow,,
8009518324983,makeup,lipstick,LIPSTICK LINER,,
30188228,makeup,concealer,L'Oréal Paris True Match Radiant 2R Serum Concealer,,
3700756606514,makeup,vernis à ongles,Vernis à ongles couleur prune,,
